TelemetryFrame(timestamp_ms=157801.0, loop_dt=1000.0, control_dt=17.0, read_dt=35.0, pwm_duty_cycle=0.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=0.000833, torque_control=-0.000833, torque_net=0.0, position_setpoint=0.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=0.5, Ki=0.01, Kd=0.01, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7891.0, nframes_sent_serial=7891.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=157821.0, loop_dt=1000.0, control_dt=16.0, read_dt=35.0, pwm_duty_cycle=0.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=0.000833, torque_control=-0.000833, torque_net=0.0, position_setpoint=0.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=0.5, Ki=0.01, Kd=0.01, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7892.0, nframes_sent_serial=7892.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=157841.0, loop_dt=1000.0, control_dt=16.0, read_dt=35.0, pwm_duty_cycle=0.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=0.000833, torque_control=-0.000833, torque_net=0.0, position_setpoint=0.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=0.5, Ki=0.01, Kd=0.01, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7893.0, nframes_sent_serial=7893.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=157861.0, loop_dt=1001.0, control_dt=16.0, read_dt=35.0, pwm_duty_cycle=0.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=0.000833, torque_control=-0.000833, torque_net=0.0, position_setpoint=0.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=0.5, Ki=0.01, Kd=0.01, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7894.0, nframes_sent_serial=7894.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=157881.0, loop_dt=1001.0, control_dt=16.0, read_dt=35.0, pwm_duty_cycle=0.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=0.000833, torque_control=-0.000833, torque_net=0.0, position_setpoint=0.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=0.5, Ki=0.01, Kd=0.01, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7895.0, nframes_sent_serial=7895.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=157901.0, loop_dt=1001.0, control_dt=16.0, read_dt=35.0, pwm_duty_cycle=0.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=0.000833, torque_control=-0.000833, torque_net=0.0, position_setpoint=0.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=0.5, Ki=0.01, Kd=0.01, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7896.0, nframes_sent_serial=7896.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=157921.0, loop_dt=1001.0, control_dt=17.0, read_dt=35.0, pwm_duty_cycle=0.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=0.000833, torque_control=-0.000833, torque_net=0.0, position_setpoint=0.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=0.5, Ki=0.01, Kd=0.01, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7897.0, nframes_sent_serial=7897.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=157941.0, loop_dt=1001.0, control_dt=16.0, read_dt=35.0, pwm_duty_cycle=0.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=0.000833, torque_control=-0.000833, torque_net=0.0, position_setpoint=0.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=0.5, Ki=0.01, Kd=0.01, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7898.0, nframes_sent_serial=7898.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=157961.0, loop_dt=1000.0, control_dt=16.0, read_dt=35.0, pwm_duty_cycle=0.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=0.000833, torque_control=-0.000833, torque_net=0.0, position_setpoint=0.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=0.5, Ki=0.01, Kd=0.01, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7899.0, nframes_sent_serial=7899.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=157981.0, loop_dt=999.0, control_dt=16.0, read_dt=35.0, pwm_duty_cycle=0.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=0.000833, torque_control=-0.000833, torque_net=0.0, position_setpoint=0.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=0.5, Ki=0.01, Kd=0.01, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7900.0, nframes_sent_serial=7900.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158001.0, loop_dt=1002.0, control_dt=20.0, read_dt=35.0, pwm_duty_cycle=0.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=0.000833, torque_control=-0.000833, torque_net=0.0, position_setpoint=0.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=0.5, Ki=0.01, Kd=0.01, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7901.0, nframes_sent_serial=7901.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
